measure,sens_attr,is_fair,counts
positive_predictive_value_parity,canon,True,730.0
positive_predictive_value_parity,sony,True,327.0
positive_predictive_value_parity,leica,True,43.0
positive_predictive_value_parity,d-link,True,463.0
positive_predictive_value_parity,gopro,True,314.0
positive_predictive_value_parity,sandisk,True,88.0
positive_predictive_value_parity,fujifilm,False,95.0
positive_predictive_value_parity,nikon,True,185.0
positive_predictive_value_parity,manfrotto,True,114.0
positive_predictive_value_parity,transcend,False,85.0
positive_predictive_value_parity,panasonic,True,159.0
positive_predictive_value_parity,unknown,True,291.0
positive_predictive_value_parity,kupo,True,32.0
positive_predictive_value_parity,arlo,True,46.0
positive_predictive_value_parity,sigma,False,18.0
positive_predictive_value_parity,logitech,False,6.0
positive_predictive_value_parity,garmin,False,25.0
positive_predictive_value_parity,kingston,True,13.0
positive_predictive_value_parity,samsung,True,8.0
positive_predictive_value_parity,veho,True,36.0
positive_predictive_value_parity,olympus,True,10.0
positive_predictive_value_parity,mefoto,True,16.0
positive_predictive_value_parity,vigilance,True,9.0
positive_predictive_value_parity,netgear,True,18.0
positive_predictive_value_parity,case logic,True,11.0
positive_predictive_value_parity,vanguard,True,14.0
positive_predictive_value_parity,pentax,True,1.0
negative_predictive_value_parity,canon,True,730.0
negative_predictive_value_parity,sony,True,327.0
negative_predictive_value_parity,leica,True,43.0
negative_predictive_value_parity,d-link,True,463.0
negative_predictive_value_parity,gopro,True,314.0
negative_predictive_value_parity,sandisk,True,88.0
negative_predictive_value_parity,fujifilm,True,95.0
negative_predictive_value_parity,nikon,True,185.0
negative_predictive_value_parity,manfrotto,True,114.0
negative_predictive_value_parity,transcend,True,85.0
negative_predictive_value_parity,panasonic,True,159.0
negative_predictive_value_parity,unknown,True,291.0
negative_predictive_value_parity,kupo,True,32.0
negative_predictive_value_parity,arlo,True,46.0
negative_predictive_value_parity,sigma,True,18.0
negative_predictive_value_parity,logitech,True,6.0
negative_predictive_value_parity,garmin,True,25.0
negative_predictive_value_parity,kingston,True,13.0
negative_predictive_value_parity,samsung,True,8.0
negative_predictive_value_parity,veho,True,36.0
negative_predictive_value_parity,olympus,True,10.0
negative_predictive_value_parity,mefoto,True,16.0
negative_predictive_value_parity,vigilance,True,9.0
negative_predictive_value_parity,netgear,True,18.0
negative_predictive_value_parity,case logic,True,11.0
negative_predictive_value_parity,vanguard,True,14.0
negative_predictive_value_parity,pentax,True,1.0
false_positive_rate_parity,canon,True,730.0
false_positive_rate_parity,sony,True,327.0
false_positive_rate_parity,leica,True,43.0
false_positive_rate_parity,d-link,True,463.0
false_positive_rate_parity,gopro,True,314.0
false_positive_rate_parity,sandisk,True,88.0
false_positive_rate_parity,fujifilm,True,95.0
false_positive_rate_parity,nikon,True,185.0
false_positive_rate_parity,manfrotto,True,114.0
false_positive_rate_parity,transcend,True,85.0
false_positive_rate_parity,panasonic,True,159.0
false_positive_rate_parity,unknown,True,291.0
false_positive_rate_parity,kupo,True,32.0
false_positive_rate_parity,arlo,True,46.0
false_positive_rate_parity,sigma,True,18.0
false_positive_rate_parity,logitech,True,6.0
false_positive_rate_parity,garmin,True,25.0
false_positive_rate_parity,kingston,True,13.0
false_positive_rate_parity,samsung,True,8.0
false_positive_rate_parity,veho,True,36.0
false_positive_rate_parity,olympus,True,10.0
false_positive_rate_parity,mefoto,True,16.0
false_positive_rate_parity,vigilance,True,9.0
false_positive_rate_parity,netgear,True,18.0
false_positive_rate_parity,case logic,True,11.0
false_positive_rate_parity,vanguard,True,14.0
false_positive_rate_parity,pentax,True,1.0
true_positive_rate_parity,canon,True,730.0
true_positive_rate_parity,sony,True,327.0
true_positive_rate_parity,leica,True,43.0
true_positive_rate_parity,d-link,True,463.0
true_positive_rate_parity,gopro,True,314.0
true_positive_rate_parity,sandisk,True,88.0
true_positive_rate_parity,fujifilm,False,95.0
true_positive_rate_parity,nikon,True,185.0
true_positive_rate_parity,manfrotto,True,114.0
true_positive_rate_parity,transcend,True,85.0
true_positive_rate_parity,panasonic,True,159.0
true_positive_rate_parity,unknown,False,291.0
true_positive_rate_parity,kupo,True,32.0
true_positive_rate_parity,arlo,True,46.0
true_positive_rate_parity,sigma,True,18.0
true_positive_rate_parity,logitech,True,6.0
true_positive_rate_parity,garmin,False,25.0
true_positive_rate_parity,kingston,True,13.0
true_positive_rate_parity,samsung,True,8.0
true_positive_rate_parity,veho,True,36.0
true_positive_rate_parity,olympus,True,10.0
true_positive_rate_parity,mefoto,True,16.0
true_positive_rate_parity,vigilance,False,9.0
true_positive_rate_parity,netgear,False,18.0
true_positive_rate_parity,case logic,False,11.0
true_positive_rate_parity,vanguard,True,14.0
true_positive_rate_parity,pentax,True,1.0
statistical_parity,canon,True,730.0
statistical_parity,sony,True,327.0
statistical_parity,leica,True,43.0
statistical_parity,d-link,True,463.0
statistical_parity,gopro,True,314.0
statistical_parity,sandisk,True,88.0
statistical_parity,fujifilm,True,95.0
statistical_parity,nikon,True,185.0
statistical_parity,manfrotto,True,114.0
statistical_parity,transcend,True,85.0
statistical_parity,panasonic,True,159.0
statistical_parity,unknown,True,291.0
statistical_parity,kupo,True,32.0
statistical_parity,arlo,True,46.0
statistical_parity,sigma,True,18.0
statistical_parity,logitech,True,6.0
statistical_parity,garmin,True,25.0
statistical_parity,kingston,True,13.0
statistical_parity,samsung,True,8.0
statistical_parity,veho,True,36.0
statistical_parity,olympus,True,10.0
statistical_parity,mefoto,True,16.0
statistical_parity,vigilance,True,9.0
statistical_parity,netgear,True,18.0
statistical_parity,case logic,True,11.0
statistical_parity,vanguard,True,14.0
statistical_parity,pentax,True,1.0
accuracy_parity,canon,True,730.0
accuracy_parity,sony,True,327.0
accuracy_parity,leica,True,43.0
accuracy_parity,d-link,True,463.0
accuracy_parity,gopro,True,314.0
accuracy_parity,sandisk,True,88.0
accuracy_parity,fujifilm,True,95.0
accuracy_parity,nikon,True,185.0
accuracy_parity,manfrotto,True,114.0
accuracy_parity,transcend,True,85.0
accuracy_parity,panasonic,True,159.0
accuracy_parity,unknown,True,291.0
accuracy_parity,kupo,True,32.0
accuracy_parity,arlo,True,46.0
accuracy_parity,sigma,True,18.0
accuracy_parity,logitech,True,6.0
accuracy_parity,garmin,True,25.0
accuracy_parity,kingston,True,13.0
accuracy_parity,samsung,True,8.0
accuracy_parity,veho,True,36.0
accuracy_parity,olympus,True,10.0
accuracy_parity,mefoto,True,16.0
accuracy_parity,vigilance,True,9.0
accuracy_parity,netgear,True,18.0
accuracy_parity,case logic,True,11.0
accuracy_parity,vanguard,True,14.0
accuracy_parity,pentax,True,1.0
