measure,sens_attr,is_fair,counts
accuracy_parity,canon | canon,True,510.0
accuracy_parity,sony | sony,True,145.0
accuracy_parity,leica | leica,False,22.0
accuracy_parity,d-link | d-link,True,374.0
accuracy_parity,gopro | gopro,True,217.0
accuracy_parity,sandisk | sandisk,True,46.0
accuracy_parity,fujifilm | nikon,True,10.0
accuracy_parity,manfrotto | manfrotto,True,71.0
accuracy_parity,transcend | transcend,True,40.0
accuracy_parity,nikon | sony,True,26.0
accuracy_parity,canon | panasonic,True,27.0
accuracy_parity,d-link | unknown,True,43.0
accuracy_parity,nikon | nikon,True,70.0
accuracy_parity,canon | nikon,True,38.0
accuracy_parity,panasonic | panasonic,False,78.0
accuracy_parity,canon | unknown,True,43.0
accuracy_parity,kupo | kupo,True,12.0
accuracy_parity,fujifilm | sony,True,15.0
accuracy_parity,arlo | unknown,True,6.0
accuracy_parity,gopro | leica,True,6.0
accuracy_parity,nikon | sigma,True,3.0
accuracy_parity,logitech | logitech,True,4.0
accuracy_parity,garmin | gopro,True,5.0
accuracy_parity,gopro | kingston,True,1.0
accuracy_parity,canon | sony,True,55.0
accuracy_parity,gopro | nikon,True,4.0
accuracy_parity,leica | sony,True,5.0
accuracy_parity,canon | leica,True,4.0
accuracy_parity,unknown | unknown,True,48.0
accuracy_parity,garmin | unknown,False,9.0
accuracy_parity,fujifilm | samsung,True,1.0
accuracy_parity,canon | fujifilm,True,9.0
accuracy_parity,manfrotto | sony,True,10.0
accuracy_parity,d-link | panasonic,True,5.0
accuracy_parity,veho | veho,False,16.0
accuracy_parity,sony | unknown,True,24.0
accuracy_parity,canon | olympus,True,2.0
accuracy_parity,panasonic | sony,True,20.0
accuracy_parity,sandisk | unknown,True,17.0
accuracy_parity,canon | sigma,True,6.0
accuracy_parity,arlo | d-link,True,18.0
accuracy_parity,fujifilm | fujifilm,True,30.0
accuracy_parity,kingston | transcend,True,7.0
accuracy_parity,gopro | panasonic,True,6.0
accuracy_parity,canon | gopro,True,15.0
accuracy_parity,manfrotto | mefoto,True,6.0
accuracy_parity,sandisk | transcend,True,23.0
accuracy_parity,sigma | sony,False,5.0
accuracy_parity,gopro | unknown,True,20.0
accuracy_parity,olympus | unknown,True,4.0
accuracy_parity,panasonic | unknown,True,9.0
accuracy_parity,gopro | kupo,True,7.0
accuracy_parity,fujifilm | unknown,False,8.0
accuracy_parity,arlo | gopro,True,1.0
accuracy_parity,d-link | vigilance,True,7.0
accuracy_parity,transcend | unknown,True,7.0
accuracy_parity,manfrotto | unknown,True,11.0
accuracy_parity,d-link | netgear,True,8.0
accuracy_parity,nikon | unknown,True,22.0
accuracy_parity,olympus | sony,True,2.0
accuracy_parity,fujifilm | gopro,True,4.0
accuracy_parity,arlo | arlo,True,13.0
accuracy_parity,sony | transcend,True,2.0
accuracy_parity,case logic | nikon,True,2.0
accuracy_parity,logitech | unknown,True,1.0
accuracy_parity,gopro | veho,True,2.0
accuracy_parity,nikon | vanguard,True,3.0
accuracy_parity,sony | veho,True,4.0
accuracy_parity,fujifilm | veho,True,6.0
accuracy_parity,panasonic | veho,True,2.0
accuracy_parity,netgear | unknown,True,2.0
accuracy_parity,gopro | mefoto,True,4.0
accuracy_parity,leica | unknown,True,3.0
accuracy_parity,nikon | panasonic,True,5.0
accuracy_parity,arlo | canon,True,1.0
accuracy_parity,garmin | garmin,False,5.0
accuracy_parity,canon | garmin,True,5.0
accuracy_parity,fujifilm | transcend,True,5.0
accuracy_parity,mefoto | vanguard,True,4.0
accuracy_parity,d-link | gopro,True,4.0
accuracy_parity,canon | case logic,True,4.0
accuracy_parity,gopro | manfrotto,True,6.0
accuracy_parity,kupo | unknown,True,8.0
accuracy_parity,kingston | sandisk,True,1.0
accuracy_parity,fujifilm | panasonic,True,4.0
accuracy_parity,sony | vanguard,True,1.0
accuracy_parity,gopro | sony,True,7.0
accuracy_parity,canon | veho,True,4.0
accuracy_parity,vanguard | vanguard,False,2.0
accuracy_parity,kupo | nikon,True,1.0
accuracy_parity,case logic | case logic,False,2.0
accuracy_parity,samsung | sony,True,4.0
accuracy_parity,canon | kupo,True,1.0
accuracy_parity,gopro | netgear,True,2.0
accuracy_parity,canon | manfrotto,True,4.0
accuracy_parity,mefoto | mefoto,False,1.0
accuracy_parity,samsung | unknown,True,2.0
accuracy_parity,manfrotto | vanguard,True,4.0
accuracy_parity,d-link | veho,True,1.0
accuracy_parity,garmin | panasonic,True,1.0
accuracy_parity,sigma | sigma,True,3.0
accuracy_parity,leica | panasonic,True,2.0
accuracy_parity,unknown | vigilance,True,1.0
accuracy_parity,kupo | manfrotto,True,1.0
accuracy_parity,d-link | sony,True,1.0
accuracy_parity,kupo | sony,True,1.0
accuracy_parity,case logic | gopro,True,3.0
accuracy_parity,kingston | kupo,True,1.0
accuracy_parity,arlo | netgear,True,6.0
accuracy_parity,manfrotto | veho,True,1.0
accuracy_parity,vigilance | vigilance,True,1.0
accuracy_parity,olympus | sigma,True,1.0
accuracy_parity,canon | pentax,True,1.0
accuracy_parity,d-link | fujifilm,True,2.0
accuracy_parity,nikon | samsung,True,1.0
accuracy_parity,kingston | unknown,True,2.0
accuracy_parity,mefoto | unknown,True,1.0
accuracy_parity,fujifilm | sandisk,True,1.0
accuracy_parity,canon | kingston,True,1.0
accuracy_parity,olympus | olympus,True,1.0
accuracy_parity,arlo | leica,True,1.0
accuracy_parity,logitech | transcend,True,1.0
statistical_parity,canon | canon,True,510.0
statistical_parity,sony | sony,True,145.0
statistical_parity,leica | leica,True,22.0
statistical_parity,d-link | d-link,True,374.0
statistical_parity,gopro | gopro,True,217.0
statistical_parity,sandisk | sandisk,True,46.0
statistical_parity,fujifilm | nikon,True,10.0
statistical_parity,manfrotto | manfrotto,True,71.0
statistical_parity,transcend | transcend,True,40.0
statistical_parity,nikon | sony,True,26.0
statistical_parity,canon | panasonic,True,27.0
statistical_parity,d-link | unknown,True,43.0
statistical_parity,nikon | nikon,True,70.0
statistical_parity,canon | nikon,True,38.0
statistical_parity,panasonic | panasonic,True,78.0
statistical_parity,canon | unknown,True,43.0
statistical_parity,kupo | kupo,True,12.0
statistical_parity,fujifilm | sony,True,15.0
statistical_parity,arlo | unknown,True,6.0
statistical_parity,gopro | leica,True,6.0
statistical_parity,nikon | sigma,True,3.0
statistical_parity,logitech | logitech,True,4.0
statistical_parity,garmin | gopro,True,5.0
statistical_parity,gopro | kingston,True,1.0
statistical_parity,canon | sony,True,55.0
statistical_parity,gopro | nikon,True,4.0
statistical_parity,leica | sony,True,5.0
statistical_parity,canon | leica,True,4.0
statistical_parity,unknown | unknown,True,48.0
statistical_parity,garmin | unknown,True,9.0
statistical_parity,fujifilm | samsung,True,1.0
statistical_parity,canon | fujifilm,True,9.0
statistical_parity,manfrotto | sony,True,10.0
statistical_parity,d-link | panasonic,True,5.0
statistical_parity,veho | veho,True,16.0
statistical_parity,sony | unknown,True,24.0
statistical_parity,canon | olympus,True,2.0
statistical_parity,panasonic | sony,True,20.0
statistical_parity,sandisk | unknown,True,17.0
statistical_parity,canon | sigma,True,6.0
statistical_parity,arlo | d-link,True,18.0
statistical_parity,fujifilm | fujifilm,True,30.0
statistical_parity,kingston | transcend,True,7.0
