measure,sens_attr,is_fair,counts
positive_predictive_value_parity,article,False,63.0
positive_predictive_value_parity,inproceedings,True,74.0
positive_predictive_value_parity,misc,True,3.0
positive_predictive_value_parity,incollection,False,13.0
positive_predictive_value_parity,proceedings,True,1.0
positive_predictive_value_parity,techreport,True,2.0
positive_predictive_value_parity,phdthesis,False,2.0
positive_predictive_value_parity,book,True,1.0
negative_predictive_value_parity,article,True,63.0
negative_predictive_value_parity,inproceedings,True,74.0
negative_predictive_value_parity,misc,True,3.0
negative_predictive_value_parity,incollection,True,13.0
negative_predictive_value_parity,proceedings,True,1.0
negative_predictive_value_parity,techreport,False,2.0
negative_predictive_value_parity,phdthesis,True,2.0
negative_predictive_value_parity,book,True,1.0
false_positive_rate_parity,article,True,63.0
false_positive_rate_parity,inproceedings,True,74.0
false_positive_rate_parity,misc,True,3.0
false_positive_rate_parity,incollection,True,13.0
false_positive_rate_parity,proceedings,True,1.0
false_positive_rate_parity,techreport,True,2.0
false_positive_rate_parity,phdthesis,False,2.0
false_positive_rate_parity,book,True,1.0
true_positive_rate_parity,article,True,63.0
true_positive_rate_parity,inproceedings,True,74.0
true_positive_rate_parity,misc,True,3.0
true_positive_rate_parity,incollection,False,13.0
true_positive_rate_parity,proceedings,True,1.0
true_positive_rate_parity,techreport,False,2.0
true_positive_rate_parity,phdthesis,True,2.0
true_positive_rate_parity,book,True,1.0
statistical_parity,article,True,63.0
statistical_parity,inproceedings,True,74.0
statistical_parity,misc,True,3.0
statistical_parity,incollection,True,13.0
statistical_parity,proceedings,True,1.0
statistical_parity,techreport,True,2.0
statistical_parity,phdthesis,True,2.0
statistical_parity,book,True,1.0
accuracy_parity,article,True,63.0
accuracy_parity,inproceedings,True,74.0
accuracy_parity,misc,True,3.0
accuracy_parity,incollection,True,13.0
accuracy_parity,proceedings,True,1.0
accuracy_parity,techreport,False,2.0
accuracy_parity,phdthesis,False,2.0
accuracy_parity,book,True,1.0
