measure,sens_attr,is_fair,counts
accuracy_parity,article | article,True,14.0
accuracy_parity,article | inproc.,True,38.0
accuracy_parity,article | misc,True,2.0
accuracy_parity,inproc. | inproc.,True,26.0
accuracy_parity,article | incollection,True,6.0
accuracy_parity,incollection | inproc.,False,6.0
accuracy_parity,article | proceedings,True,1.0
accuracy_parity,inproc. | techreport,True,1.0
accuracy_parity,incollection | incollection,True,1.0
accuracy_parity,inproc. | misc,True,1.0
accuracy_parity,article | phdthesis,True,1.0
accuracy_parity,article | techreport,True,1.0
accuracy_parity,book | inproc.,True,1.0
accuracy_parity,inproc. | phdthesis,True,1.0
statistical_parity,article | article,True,14.0
statistical_parity,article | inproc.,True,38.0
statistical_parity,article | misc,True,2.0
statistical_parity,inproc. | inproc.,True,26.0
statistical_parity,article | incollection,True,6.0
statistical_parity,incollection | inproc.,True,6.0
statistical_parity,article | proceedings,True,1.0
statistical_parity,inproc. | techreport,True,1.0
statistical_parity,incollection | incollection,True,1.0
statistical_parity,inproc. | misc,True,1.0
statistical_parity,article | phdthesis,True,1.0
statistical_parity,article | techreport,True,1.0
statistical_parity,book | inproc.,True,1.0
statistical_parity,inproc. | phdthesis,True,1.0
true_positive_rate_parity,article | article,True,14.0
true_positive_rate_parity,article | inproc.,True,38.0
true_positive_rate_parity,article | misc,True,2.0
true_positive_rate_parity,inproc. | inproc.,True,26.0
true_positive_rate_parity,article | incollection,True,6.0
true_positive_rate_parity,incollection | inproc.,True,6.0
true_positive_rate_parity,article | proceedings,True,1.0
true_positive_rate_parity,inproc. | techreport,True,1.0
true_positive_rate_parity,incollection | incollection,True,1.0
true_positive_rate_parity,inproc. | misc,True,1.0
true_positive_rate_parity,article | phdthesis,True,1.0
true_positive_rate_parity,article | techreport,True,1.0
true_positive_rate_parity,book | inproc.,True,1.0
true_positive_rate_parity,inproc. | phdthesis,True,1.0
false_positive_rate_parity,article | article,True,14.0
false_positive_rate_parity,article | inproc.,True,38.0
false_positive_rate_parity,article | misc,True,2.0
false_positive_rate_parity,inproc. | inproc.,True,26.0
false_positive_rate_parity,article | incollection,True,6.0
false_positive_rate_parity,incollection | inproc.,False,6.0
false_positive_rate_parity,article | proceedings,True,1.0
false_positive_rate_parity,inproc. | techreport,False,1.0
false_positive_rate_parity,incollection | incollection,False,1.0
false_positive_rate_parity,inproc. | misc,True,1.0
false_positive_rate_parity,article | phdthesis,True,1.0
false_positive_rate_parity,article | techreport,True,1.0
false_positive_rate_parity,book | inproc.,True,1.0
false_positive_rate_parity,inproc. | phdthesis,True,1.0
negative_predictive_value_parity,article | article,True,14.0
negative_predictive_value_parity,article | inproc.,True,38.0
negative_predictive_value_parity,article | misc,True,2.0
negative_predictive_value_parity,inproc. | inproc.,True,26.0
negative_predictive_value_parity,article | incollection,True,6.0
negative_predictive_value_parity,incollection | inproc.,True,6.0
negative_predictive_value_parity,article | proceedings,True,1.0
negative_predictive_value_parity,inproc. | techreport,True,1.0
negative_predictive_value_parity,incollection | incollection,True,1.0
negative_predictive_value_parity,inproc. | misc,True,1.0
negative_predictive_value_parity,article | phdthesis,True,1.0
negative_predictive_value_parity,article | techreport,True,1.0
negative_predictive_value_parity,book | inproc.,True,1.0
negative_predictive_value_parity,inproc. | phdthesis,True,1.0
positive_predictive_value_parity,article | article,True,14.0
positive_predictive_value_parity,article | inproc.,False,38.0
positive_predictive_value_parity,article | misc,True,2.0
positive_predictive_value_parity,inproc. | inproc.,True,26.0
positive_predictive_value_parity,article | incollection,True,6.0
positive_predictive_value_parity,incollection | inproc.,False,6.0
positive_predictive_value_parity,article | proceedings,True,1.0
positive_predictive_value_parity,inproc. | techreport,True,1.0
positive_predictive_value_parity,incollection | incollection,True,1.0
positive_predictive_value_parity,inproc. | misc,True,1.0
positive_predictive_value_parity,article | phdthesis,True,1.0
positive_predictive_value_parity,article | techreport,True,1.0
positive_predictive_value_parity,book | inproc.,True,1.0
positive_predictive_value_parity,inproc. | phdthesis,True,1.0
