measure,sens_attr,is_fair,counts
accuracy_parity,Dirty South | Rap & HH,True,5.0
accuracy_parity,HH/Rap | Rap & HH,True,24.0
accuracy_parity,Music | Rap & HH,True,26.0
accuracy_parity,Classical | Soundtracks,False,2.0
accuracy_parity,Music | Soundtracks,False,2.0
accuracy_parity,Original Score | Soundtracks,False,2.0
accuracy_parity,Soundtrack | Soundtracks,False,2.0
accuracy_parity,Dance | Dance & Elec.,True,37.0
accuracy_parity,Music | Dance & Elec.,True,39.0
accuracy_parity,Elec. | Dance & Elec.,True,33.0
accuracy_parity,French Pop | Dance & Elec.,True,13.0
accuracy_parity,House | Dance & Elec.,True,20.0
accuracy_parity,Rock | Dance & Elec.,True,22.0
accuracy_parity,Rap | Rap & HH,True,18.0
accuracy_parity,Adult Alternative | Alternative Rock,False,5.0
accuracy_parity,Alternative | Alternative Rock,False,5.0
accuracy_parity,Music | Alternative Rock,False,5.0
accuracy_parity,Rock | Alternative Rock,False,5.0
accuracy_parity,Dance | Pop,True,13.0
accuracy_parity,Music | Pop,True,20.0
accuracy_parity,Rock | Pop,True,14.0
accuracy_parity,Cont. R&B | Pop,True,7.0
accuracy_parity,Pop | Pop,True,16.0
accuracy_parity,R&B / Soul | Pop,True,11.0
accuracy_parity,Cont. Country | Country,True,11.0
accuracy_parity,Country | Country,True,11.0
accuracy_parity,Honky Tonk | Country,True,9.0
accuracy_parity,Music | Country,True,11.0
accuracy_parity,Urban Cowboy | Country,True,4.0
accuracy_parity,Elec. | Pop,True,4.0
accuracy_parity,Hip-Hop / Rap | Pop,True,3.0
accuracy_parity,Pop/Rock | Pop,True,8.0
accuracy_parity,Alternative | Rock,True,4.0
accuracy_parity,Hard Rock | Rock,True,4.0
accuracy_parity,Music | Rock,True,8.0
accuracy_parity,Rock | Rock,True,8.0
accuracy_parity,Pop | Country,True,4.0
accuracy_parity,Teen Pop | Country,True,1.0
accuracy_parity,Adult Alternative | Dance & Elec.,True,2.0
accuracy_parity,Adult Alternative | House,True,1.0
accuracy_parity,Dance | House,True,3.0
accuracy_parity,Elec. | House,True,2.0
accuracy_parity,Elec.a | Dance & Elec.,True,4.0
accuracy_parity,Elec.a | House,True,2.0
accuracy_parity,House | House,True,1.0
accuracy_parity,Music | House,True,3.0
accuracy_parity,Pop | Dance & Elec.,False,3.0
accuracy_parity,Pop | House,True,1.0
accuracy_parity,Rock | House,True,1.0
accuracy_parity,Singer/Songwriter | Rock,True,3.0
accuracy_parity,HH/Rap | Pop,True,3.0
accuracy_parity,East Coast Rap | Rap & HH,True,6.0
accuracy_parity,Hardcore Rap | Rap & HH,True,7.0
accuracy_parity,Dance & Elec. | Elec.,True,33.0
accuracy_parity,Dance & Elec. | Music,True,39.0
accuracy_parity,Elec.a | Elec.,True,4.0
accuracy_parity,Elec.a | Music,True,5.0
accuracy_parity,Dirty South | Pop Rap,True,2.0
accuracy_parity,Dirty South | Southern Rap,True,2.0
accuracy_parity,HH/Rap | Pop Rap,True,2.0
accuracy_parity,HH/Rap | Southern Rap,True,2.0
accuracy_parity,Music | Pop Rap,True,2.0
accuracy_parity,Music | Southern Rap,True,2.0
accuracy_parity,Pop | Pop Rap,True,2.0
accuracy_parity,Pop | Rap & HH,True,3.0
accuracy_parity,Pop | Southern Rap,True,2.0
